timestamp,r_humidity,man_valve_cmd,rchw_temp,sa_temp,ra_temp,rtemp_sp,vlv_cmd
10/03/2022 2:20,49.77243042,100,23.32660866,82.93725586,23.29510498,16,0
10/03/2022 2:30,50.02358627,100,23.39884567,83.57407379,23.1383419,16,0
10/03/2022 2:40,49.77170944,100,23.38889313,83.57529449,23.1263237,16,0
10/03/2022 2:50,49.88215256,100,23.41324997,83.67225647,23.0020752,16,0
10/03/2022 3:00,50.6674881,100,23.44978523,83.64896393,22.91505432,16,0
10/03/2022 3:10,51.69669342,100,23.46024132,83.6463623,22.77178764,16,0
10/03/2022 3:20,52.8613205,100,23.48921204,82.37486267,22.4846096,16,0
10/03/2022 3:30,53.64219666,100,23.48999214,82.65847778,22.28543282,16,0
10/03/2022 3:40,53.91097641,100,23.5186882,82.64510345,22.13439941,16,0
10/03/2022 3:50,54.17066956,100,23.55208015,82.62667084,22.05642891,16,0
10/03/2022 4:00,54.42280579,100,23.56715202,82.67058563,22.03250313,16,0
10/03/2022 4:10,54.66185379,100,23.57930183,82.74837494,21.90884781,16,0
10/03/2022 4:20,54.54148483,100,23.60702515,82.78987885,21.7246933,16,0
10/03/2022 4:30,54.40605164,100,23.60947037,82.62379456,21.4701767,16,0
10/03/2022 4:40,54.65528488,100,23.60290909,82.72644043,21.36590576,16,0
10/03/2022 4:50,55.17318344,100,23.60555077,82.88511658,21.1396656,16,0
10/03/2022 5:00,55.80304337,100,23.644701,82.80455017,20.93452644,16,0
10/03/2022 5:10,56.51929855,100,23.64425468,82.82310486,20.70781326,16,0
10/03/2022 5:20,57.20410156,100,23.65815735,82.89202118,20.59609222,16,0
10/03/2022 5:30,57.65707397,100,23.66708374,82.94839478,20.5546608,16,0
10/03/2022 5:40,57.78516388,100,23.65496063,82.86391449,20.57216644,16,0
10/03/2022 5:50,57.69107437,100,23.66950417,83.03991699,20.5617466,16,0
10/03/2022 6:00,57.75318146,100,23.68109894,82.95679474,20.59644318,16,0
10/03/2022 6:10,57.77939987,100,23.67853928,82.85995483,20.35447693,16,0
10/03/2022 6:20,57.74472427,100,23.7086525,82.8881073,20.22699356,16,0
10/03/2022 6:30,58.15216827,100,23.70759773,82.62807465,20.22005272,16,0
10/03/2022 6:40,58.41152573,100,23.70039558,82.82511902,20.18540573,16,0
10/03/2022 6:50,58.68343735,100,23.71668816,82.80902863,20.23552322,16,0
10/03/2022 7:00,58.92928314,100,23.71432495,82.81845856,20.10836792,16,0
10/03/2022 7:10,59.06248093,100,23.71852493,83.3137207,20.08052826,16,0
10/03/2022 7:20,59.2810936,100,23.73217583,83.34614563,19.95617104,16,0
10/03/2022 7:30,59.54296112,100,23.73111916,83.36505127,19.95854759,16,0
10/03/2022 7:40,59.76753998,100,23.75244713,83.33940887,19.90192223,16,0
10/03/2022 7:50,59.93271637,100,23.76751518,83.3399353,19.9335289,16,0
10/03/2022 8:00,60.20378876,100,23.75286293,82.57780457,19.86178589,16,0
10/03/2022 8:10,60.22188568,100,23.76487541,84.20239258,19.82190514,16,0
10/03/2022 8:20,60.33520126,100,23.77271652,82.54048157,19.90655136,16,0
10/03/2022 8:30,60.46259308,100,23.76634979,82.51094055,19.96021652,16,0
